integration_radius_cm,enclosed_count,enclosed_fraction,target_containment_fraction
0.0,0,0.0,0.0
0.03162742458315727,28,0.0010193308820852598,0.001
0.04304547755031169,55,0.002002257089810332,0.002
0.05542779655945747,83,0.0030215879718955914,0.003
0.0656748624220065,110,0.004004514179620664,0.004
0.0715823844418738,138,0.005023845061705923,0.005
0.0779161323122711,165,0.006006771269430995,0.006
0.08315416071648006,193,0.007026102151516255,0.007
0.0909793508731567,220,0.008009028359241327,0.008
0.09741860786875346,248,0.009028359241326587,0.009
0.10169719120902299,275,0.010011285449051659,0.01
0.10549776829996955,303,0.011030616331136918,0.011
0.10949399146222812,330,0.01201354253886199,0.012
0.11479019734780234,358,0.01303287342094725,0.013
0.11901932614722319,385,0.014015799628672321,0.014
0.12248533440619287,413,0.015035130510757581,0.015
0.1274131787855997,440,0.016018056718482655,0.016
0.13022568505978172,467,0.017000982926207726,0.017
0.13298380295526546,495,0.018020313808292984,0.018
0.1362054640990315,522,0.019003240016018056,0.019
0.13935721170509496,550,0.020022570898103317,0.02
0.1414757969110415,577,0.02100549710582839,0.021
0.1448790510607767,605,0.022024827987913647,0.022
0.14770707571796082,632,0.02300775419563872,0.023
0.15157374802310408,660,0.02402708507772398,0.024
0.15546343221318554,687,0.025010011285449052,0.025
0.15918618336631069,715,0.02602934216753431,0.026
0.16246252622796228,742,0.02701226837525938,0.027
0.16514439080107907,770,0.028031599257344643,0.028
0.16867675347264405,797,0.029014525465069715,0.029
0.17205487492652372,825,0.030033856347154976,0.03
0.1746377874183704,852,0.031016782554880048,0.031
0.17734328205492228,880,0.03203611343696531,0.032
0.17931018333219292,907,0.03301903964469038,0.033
0.18184205660907923,934,0.03400196585241545,0.034
0.18453768285619201,962,0.03502129673450071,0.035
0.18821533456143627,989,0.03600422294222578,0.036
0.19172926703623408,1017,0.037023553824311044,0.037
0.19361056347344419,1044,0.03800648003203611,0.038
0.19598256685520665,1072,0.03902581091412137,0.039
0.19927401702951528,1099,0.040008737121846445,0.04
0.20157282001028412,1127,0.0410280680039317,0.041
0.2041354102793321,1154,0.04201099421165678,0.042
0.2074088906431742,1182,0.043030325093742036,0.043
0.2096747812481873,1209,0.04401325130146711,0.044
0.21191811528126936,1237,0.04503258218355237,0.045
0.2142463924594612,1264,0.04601550839127744,0.046
0.21599203119211474,1292,0.0470348392733627,0.047
0.2178254170465704,1319,0.04801776548108777,0.048
0.22041622405320793,1346,0.049000691688812846,0.049
0.2222776269624684,1374,0.050020022570898104,0.05
0.22400146116062375,1401,0.05100294877862317,0.051
0.2258089188163108,1429,0.05202227966070844,0.052
0.22770398875384115,1456,0.053005205868433505,0.053
0.2301314169035011,1484,0.05402453675051876,0.054
0.23199415022349223,1511,0.05500746295824384,0.055
0.2338318330491142,1539,0.056026793840329096,0.056
0.23623464054907842,1566,0.05700972004805417,0.057
0.23865076195955787,1594,0.05802905093013943,0.058
0.24057999645632708,1621,0.059011977137864505,0.059
0.24212279198962125,1649,0.06003130801994976,0.06
0.24442499747299404,1676,0.06101423422767483,0.061
0.24589518624858023,1704,0.062033565109760096,0.062
0.24868979984550268,1731,0.06301649131748517,0.063
0.2512789409072482,1759,0.06403582219957042,0.064
0.25308902088627167,1786,0.06501874840729549,0.065
0.2549438155027951,1813,0.06600167461502057,0.066
0.25664188277624767,1841,0.06702100549710582,0.067
0.25838973628471096,1868,0.0680039317048309,0.068
0.2609490318956138,1896,0.06902326258691616,0.069
0.2637686812340161,1923,0.07000618879464124,0.07
0.2650864098461048,1951,0.07102551967672649,0.071
0.26728982179028377,1978,0.07200844588445156,0.072
0.26842595528766094,2006,0.07302777676653682,0.073
0.26980587887964935,2033,0.07401070297426189,0.074
0.27108582837454687,2061,0.07503003385634716,0.075
0.27286017929840134,2088,0.07601296006407222,0.076
0.27481772687153405,2116,0.07703229094615749,0.077
0.2770108009048343,2143,0.07801521715388256,0.078
0.2786735937604535,2171,0.07903454803596782,0.079
0.28000864914800305,2198,0.08001747424369289,0.08
0.28250018368084795,2225,0.08100040045141796,0.081
0.2842158086235272,2253,0.08201973133350322,0.082
0.2865363263196074,2280,0.08300265754122829,0.083
0.28853000084049035,2308,0.08402198842331356,0.084
0.29025487752140783,2335,0.08500491463103862,0.085
0.2919000402156843,2363,0.08602424551312389,0.086
0.29368681101267036,2390,0.08700717172084896,0.087
0.29591007732661556,2418,0.08802650260293422,0.088
0.2976782819794406,2445,0.08900942881065929,0.089
0.29957409776405247,2473,0.09002875969274454,0.09
0.3014664202559779,2500,0.09101168590046962,0.091
0.3029595548423711,2528,0.09203101678255488,0.092
0.30447274791713946,2555,0.09301394299027996,0.093
0.3066740912862136,2583,0.09403327387236521,0.094
0.30833488698098416,2610,0.09501620008009028,0.095
0.3106815620680215,2638,0.09603553096217554,0.096
0.31267885840256915,2665,0.09701845716990061,0.097
0.31388364971737764,2692,0.09800138337762569,0.098
0.31620428849768084,2720,0.09902071425971094,0.099
0.317710975276305,2747,0.10000364046743603,0.1
0.3198362053529516,2775,0.10102297134952128,0.101
0.32158171742273756,2802,0.10200589755724634,0.102
0.32279302396432147,2830,0.10302522843933161,0.103
0.3243986616779693,2857,0.10400815464705668,0.104
0.3265919261351109,2885,0.10502748552914194,0.105
0.32880366950675466,2912,0.10601041173686701,0.106
0.33064697682335614,2940,0.10702974261895228,0.107
0.3323629844553282,2967,0.10801266882667734,0.108
0.3341856108660542,2995,0.10903199970876261,0.109
0.3358704051801302,3022,0.11001492591648768,0.11
0.3382370428843969,3050,0.11103425679857294,0.111
0.3396564258279359,3077,0.11201718300629801,0.112
0.3414732385338357,3104,0.11300010921402308,0.113
0.343292889091604,3132,0.11401944009610834,0.114
0.3451159839220351,3159,0.11500236630383341,0.115
0.3467750788859787,3187,0.11602169718591868,0.116
0.3484773212289911,3214,0.11700462339364374,0.117
0.34999318819814296,3242,0.11802395427572901,0.118
0.35219714781219136,3269,0.11900688048345408,0.119
0.35329985273337206,3297,0.12002621136553933,0.12
0.35447996865772513,3324,0.12100913757326441,0.121
0.35628107438409434,3352,0.12202846845534966,0.122
0.3580890752411879,3379,0.12301139466307474,0.123
0.3597396364742651,3407,0.12403072554516,0.124
0.36158855440543924,3434,0.12501365175288506,0.125
0.36299607282375446,3462,0.12603298263497034,0.126
0.36464747347052845,3489,0.1270159088426954,0.127
0.3664342941525581,3517,0.12803523972478068,0.128
0.36782681240826326,3544,0.12901816593250573,0.129
0.36908525754861293,3571,0.1300010921402308,0.13
0.3703640981056868,3599,0.13102042302231606,0.131
0.3715687507698304,3626,0.13200334923004114,0.132
0.37285201346462643,3654,0.1330226801121264,0.133
0.3741355893815371,3681,0.13400560631985148,0.134
0.3755186037255191,3709,0.13502493720193673,0.135
0.37696995778232006,3736,0.1360078634096618,0.136
