integration_radius_cm,enclosed_count,enclosed_fraction,target_containment_fraction
0.2431544228024072,1511,0.055009465559924274,0.055
0.2448952311870957,1539,0.05602883355176933,0.056
0.24657871343540508,1566,0.05701179554390563,0.057
0.2495347594385195,1594,0.05803116353575069,0.058
0.25122537231519315,1621,0.059014125527887,0.059
0.25331711831482684,1649,0.06003349351973205,0.06
0.25550024939050286,1676,0.06101645551186836,0.061
0.25764270362239483,1704,0.062035823503713415,0.062
0.26010068752966525,1731,0.06301878549584972,0.063
0.26249973869381105,1758,0.06400174748798602,0.064
0.26427518231827807,1786,0.06502111547983108,0.065
0.2664661040160186,1813,0.06600407747196738,0.066
0.2682967942828875,1841,0.06702344546381243,0.067
0.2705073754120437,1868,0.06800640745594874,0.068
0.272019132707951,1896,0.0690257754477938,0.069
0.2734767225722053,1923,0.0700087374399301,0.07
0.2754031349051532,1951,0.07102810543177515,0.071
0.27709738317429145,1978,0.07201106742391146,0.072
0.27924804290005484,2006,0.07303043541575652,0.073
0.28113204054120644,2033,0.07401339740789283,0.074
0.28303474096627146,2061,0.07503276539973788,0.075
0.28523716378487224,2088,0.07601572739187418,0.076
0.28675646550529815,2116,0.07703509538371923,0.077
0.28879208219940905,2143,0.07801805737585554,0.078
0.29053681017428523,2170,0.07900101936799185,0.079
0.2917397739060328,2198,0.0800203873598369,0.08
0.2936425650602014,2225,0.0810033493519732,0.081
0.29528171631649563,2253,0.08202271734381826,0.082
0.29702890354791395,2280,0.08300567933595457,0.083
0.29934878802945497,2308,0.08402504732779963,0.084
0.30091803231585407,2335,0.08500800931993592,0.085
0.30284722865790104,2363,0.08602737731178098,0.086
0.30459000356977667,2390,0.08701033930391729,0.087
0.30597330209229345,2418,0.08802970729576234,0.088
0.30718769096333254,2445,0.08901266928789865,0.089
0.30925275261058366,2473,0.0900320372797437,0.09
0.31097851854086883,2500,0.09101499927188,0.091
0.313033256445976,2528,0.09203436726372506,0.092
0.3146632245005048,2555,0.09301732925586137,0.093
0.3169271733337332,2582,0.09400029124799766,0.094
0.3187302092174387,2610,0.09501965923984272,0.095
0.3206547492165458,2637,0.09600262123197903,0.096
0.32240531123611477,2665,0.09702198922382409,0.097
0.32461224450668097,2692,0.0980049512159604,0.098
0.3267065520226772,2720,0.09902431920780545,0.099
0.3281856827168318,2747,0.10000728119994175,0.1
0.33011547735091334,2775,0.1010266491917868,0.101
0.3326960854688351,2802,0.10200961118392311,0.102
0.3341187331884757,2830,0.10302897917576817,0.103
0.3360501739716508,2857,0.10401194116790446,0.104
0.3372711489878074,2885,0.10503130915974952,0.105
0.339115425097976,2912,0.10601427115188583,0.106
0.34053367461074296,2940,0.10703363914373089,0.107
