integration_radius_cm,enclosed_count,enclosed_fraction,target_containment_fraction
0.0,0,0.0,0.0
0.008938712453915237,20,0.0010449866764198755,0.001
0.012450953040700357,39,0.0020377240190187574,0.002
0.014459413817455302,58,0.0030304613616176394,0.003
0.017600191847536122,77,0.004023198704216521,0.004
0.019615429229285667,96,0.0050159360468154035,0.005
0.021462249226429413,115,0.006008673389414285,0.006
0.023238859716432237,134,0.007001410732013167,0.007
0.02494524972682692,154,0.008046397408433043,0.008
0.026138093252133243,173,0.009039134751031925,0.009
0.027206697153053353,192,0.010031872093630807,0.01
0.02854331011146288,211,0.011024609436229687,0.011
0.029798060861567516,230,0.01201734677882857,0.012
0.031063299352201045,249,0.013010084121427451,0.013
0.03233113676253935,268,0.014002821464026333,0.014
0.03334662098073447,288,0.01504780814044621,0.015
0.03443815788606465,307,0.01604054548304509,0.016
0.03546947334277115,326,0.017033282825643974,0.017
0.036128222956822546,345,0.018026020168242854,0.018
0.03711464544735835,364,0.019018757510841738,0.019
0.03802459207179283,383,0.020011494853440618,0.02
0.03903148903203276,402,0.021004232196039502,0.021
0.04010698181010767,422,0.022049218872459374,0.022
0.04094915599518659,441,0.023041956215058258,0.023
0.04221459146351638,460,0.02403469355765714,0.024
0.042842237594053395,479,0.025027430900256022,0.025
0.04368820601303096,498,0.026020168242854903,0.026
0.044146543041342225,517,0.027012905585453786,0.027
0.044988460315688386,536,0.028005642928052667,0.028
0.04613378266491287,556,0.029050629604472543,0.029
0.04710911988558245,575,0.030043366947071423,0.03
0.04768951645790649,594,0.031036104289670307,0.031
0.048559211705776276,613,0.03202884163226919,0.032
0.049316695925906685,632,0.03302157897486807,0.033
0.04991552045871204,651,0.03401431631746695,0.034
0.050618418780307636,670,0.03500705366006583,0.035
0.05121358453345517,690,0.03605204033648571,0.036
0.05179180928297873,709,0.037044777679084595,0.037
0.05247546622933035,728,0.038037515021683475,0.038
0.053097319953341375,747,0.039030252364282356,0.039
0.0538475401642871,766,0.040022989706881236,0.04
0.05468947811518426,785,0.041015727049480116,0.041
0.05513287198374143,804,0.042008464392079004,0.042
0.055793661892764836,823,0.043001201734677884,0.043
0.05650291700362378,843,0.04404618841109776,0.044
0.05710299647420482,862,0.04503892575369664,0.045
0.05760421106844737,881,0.04603166309629552,0.046
0.05815449401460912,900,0.0470244004388944,0.047
0.058901714434926644,919,0.04801713778149329,0.048
0.05951223029758549,938,0.04900987512409217,0.049
0.059875559150401575,957,0.05000261246669105,0.05
0.0604352496739799,977,0.051047599143110925,0.051
0.060932794334533066,996,0.052040336485709805,0.052
0.06163522511369818,1015,0.05303307382830869,0.053
0.062157195321179984,1034,0.05402581117090757,0.054
0.06268041251388858,1053,0.05501854851350645,0.055
0.06327719476431157,1072,0.05601128585610533,0.056
0.06390224388020208,1091,0.057004023198704214,0.057
0.06453813348197787,1111,0.05804900987512409,0.058
0.06517514865294634,1130,0.05904174721772298,0.059
0.06584990822023534,1149,0.06003448456032186,0.06
0.06629566733145889,1168,0.06102722190292074,0.061
0.06700082211756124,1187,0.06201995924551962,0.062
0.06764263051533423,1206,0.0630126965881185,0.063
0.06825912746675734,1225,0.06400543393071738,0.064
0.06889035200712822,1245,0.06505042060713725,0.065
0.06963342725505646,1264,0.06604315794973614,0.066
0.07012779803855204,1283,0.06703589529233503,0.067
0.07087903336798335,1302,0.0680286326349339,0.068
0.07159681558295843,1321,0.06902136997753279,0.069
0.07216171597436352,1340,0.07001410732013166,0.07
0.0725217774143163,1359,0.07100684466273055,0.071
0.07308052719495205,1379,0.07205183133915043,0.072
0.07378379638488666,1398,0.07304456868174931,0.073
0.07433420731596503,1417,0.07403730602434819,0.074
0.07479345057256358,1436,0.07503004336694707,0.075
0.07535084018315552,1455,0.07602278070954595,0.076
0.07577367589796077,1474,0.07701551805214484,0.077
0.07632422887949983,1493,0.07800825539474372,0.078
0.07668816252347374,1512,0.0790009927373426,0.079
0.07710904569843502,1532,0.08004597941376247,0.08
0.07760425974131041,1551,0.08103871675636136,0.081
0.0783278881492147,1570,0.08203145409896023,0.082
0.07881311004330539,1589,0.08302419144155912,0.083
0.07934986109287068,1608,0.08401692878415801,0.084
0.07995298562917968,1627,0.08500966612675688,0.085
0.08033107776452386,1646,0.08600240346935577,0.086
0.0808382440079544,1666,0.08704739014577564,0.087
0.08133035040638882,1685,0.08804012748837452,0.088
0.0820991760114633,1704,0.0890328648309734,0.089
0.08243610627001109,1723,0.09002560217357229,0.09
0.0828965736135803,1742,0.09101833951617117,0.091
0.0833511076846312,1761,0.09201107685877005,0.092
0.08389837076619432,1780,0.09300381420136893,0.093
0.08448186702142965,1800,0.0940488008777888,0.094
0.08498204173329275,1819,0.09504153822038769,0.095
0.08550397725420186,1838,0.09603427556298658,0.096
0.08615523677655743,1857,0.09702701290558545,0.097
0.08676263129779871,1876,0.09801975024818434,0.098
0.08715422724314506,1895,0.09901248759078322,0.099
0.08773854125859111,1914,0.1000052249333821,0.1
0.08829795920116891,1934,0.10105021160980197,0.101
0.08878535401206564,1953,0.10204294895240086,0.102
0.08942033517850008,1972,0.10303568629499973,0.103
0.08982386584205239,1991,0.10402842363759862,0.104
0.09026416433115529,2010,0.10502116098019751,0.105
0.09073337319353496,2029,0.10601389832279638,0.106
0.09135257773742388,2048,0.10700663566539527,0.107
0.09178821314165977,2068,0.10805162234181515,0.108
0.09221480657746423,2087,0.10904435968441402,0.109
0.0927928797548868,2106,0.1100370970270129,0.11
0.09328570567608102,2125,0.1110298343696118,0.111
0.09376641094867579,2144,0.11202257171221067,0.112
0.09407153544578704,2163,0.11301530905480955,0.113
0.09459795381635976,2182,0.11400804639740843,0.114
0.09516095191721163,2201,0.11500078374000731,0.115
0.0955678378295252,2221,0.11604577041642719,0.116
0.0960926513550527,2240,0.11703850775902608,0.117
0.09652849239004864,2259,0.11803124510162495,0.118
0.09681504412568522,2278,0.11902398244422384,0.119
0.09717701571863989,2297,0.12001671978682271,0.12
0.09782346073163095,2316,0.1210094571294216,0.121
0.09835523329150692,2335,0.12200219447202049,0.122
0.09876086507308036,2355,0.12304718114844036,0.123
0.09913487505128894,2374,0.12403991849103924,0.124
0.09944409591258536,2393,0.12503265583363812,0.125
0.09989723284611175,2412,0.126025393176237,0.126
0.10047520552600465,2431,0.1270181305188359,0.127
0.10083324796430748,2450,0.12801086786143476,0.128
0.1012776278662414,2469,0.12900360520403364,0.129
0.10163642515343095,2489,0.13004859188045353,0.13
0.10201258464799325,2508,0.1310413292230524,0.131
0.10245632267286373,2527,0.13203406656565128,0.132
0.1028600089332358,2546,0.13302680390825017,0.133
0.10315736873147478,2565,0.13401954125084906,0.134
0.10361560238688568,2584,0.13501227859344794,0.135
0.10403340782371016,2603,0.1360050159360468,0.136
0.10441579698325475,2623,0.1370500026124667,0.137
0.10480674016593913,2642,0.13804273995506558,0.138
0.10522198861146308,2661,0.13903547729766447,0.139
0.10566057700063748,2680,0.14002821464026333,0.14
0.10614813091424902,2699,0.1410209519828622,0.141
0.10643014212219436,2718,0.1420136893254611,0.142
0.1068543517966598,2737,0.14300642666806,0.143
0.10723796684645615,2757,0.14405141334447985,0.144
0.1077033008185489,2776,0.14504415068707874,0.145
0.10811972653765145,2795,0.14603688802967763,0.146
0.10858856834512874,2814,0.1470296253722765,0.147
0.10907128630373397,2833,0.14802236271487537,0.148
0.10954879423792217,2852,0.14901510005747426,0.149
0.10978767224753978,2871,0.15000783740007315,0.15
0.11039274867290626,2890,0.15100057474267203,0.151
0.11087620404669897,2910,0.1520455614190919,0.152
0.11126201640651413,2929,0.15303829876169078,0.153
0.11166475251497229,2948,0.15403103610428967,0.154
0.1119355036632912,2967,0.15502377344688856,0.155
0.11228081579709344,2986,0.15601651078948744,0.156
0.1126771071946848,3005,0.1570092481320863,0.157
0.1130830947805552,3024,0.1580019854746852,0.158
0.11350062786654076,3044,0.15904697215110508,0.159
0.11388122608527089,3063,0.16003970949370397,0.16
0.11421520609836307,3082,0.16103244683630283,0.161
0.11453036126753514,3101,0.16202518417890172,0.162
0.11492936017139552,3120,0.1630179215215006,0.163
0.11538579409311973,3139,0.1640106588640995,0.164
0.11564130956778411,3158,0.16500339620669838,0.165
0.11601965424990061,3178,0.16604838288311824,0.166
0.11620901458874228,3197,0.16704112022571713,0.167
0.11651660237641524,3216,0.16803385756831601,0.168
0.11684251983124364,3235,0.16902659491091487,0.169
0.1171418354637278,3254,0.17001933225351376,0.17
0.11753094898684374,3273,0.17101206959611265,0.171
0.11790016270781607,3292,0.17200480693871154,0.172
0.11829669202259016,3312,0.1730497936151314,0.173
0.11864317906834532,3331,0.17404253095773028,0.174
0.11893895539017497,3350,0.17503526830032917,0.175
0.11949197133967072,3369,0.17602800564292806,0.176
0.11999909866012232,3388,0.17702074298552695,0.177
0.12049827297955494,3407,0.1780134803281258,0.178
0.12089317755213215,3426,0.1790062176707247,0.179
0.12125970931708153,3446,0.18005120434714458,0.18
0.12164748913041991,3465,0.18104394168974344,0.181
0.12195735806294987,3484,0.18203667903234233,0.182
0.12240394091875915,3503,0.18302941637494122,0.183
0.12285803200593691,3522,0.1840221537175401,0.184
0.1233282812272516,3541,0.185014891060139,0.185
0.12365653327372703,3560,0.18600762840273785,0.186
0.12398222646863362,3579,0.18700036574533674,0.187
0.12449107048622658,3599,0.18804535242175663,0.188
0.12481748322932831,3618,0.18903808976435552,0.189
0.1251530770136393,3637,0.19003082710695438,0.19
0.12556513367644315,3656,0.19102356444955326,0.191
0.12598687151272275,3675,0.19201630179215215,0.192
0.12645826765882914,3694,0.19300903913475104,0.193
0.12687599666219349,3713,0.19400177647734992,0.194
0.1272441030753042,3733,0.1950467631537698,0.195
0.12751391825324201,3752,0.19603950049636867,0.196
0.12781771943100778,3771,0.19703223783896756,0.197
0.128112824945488,3790,0.19802497518156645,0.198
0.12843311027163146,3809,0.1990177125241653,0.199
0.12888822791392227,3828,0.2000104498667642,0.2
0.12922533175608408,3847,0.20100318720936308,0.201
0.12958380111300336,3867,0.20204817388578294,0.202
0.12990544911051996,3886,0.20304091122838183,0.203
0.13017610982553277,3905,0.20403364857098072,0.204
0.13056578517023287,3924,0.2050263859135796,0.205
0.13090393412951368,3943,0.2060191232561785,0.206
0.13123572725363628,3962,0.20701186059877735,0.207
0.131439144956311,3981,0.20800459794137624,0.208
0.13182890927130458,4001,0.20904958461779613,0.209
0.13223489571184008,4020,0.21004232196039502,0.21
0.13267679595509843,4039,0.21103505930299388,0.211
0.13307084076437722,4058,0.21202779664559276,0.212
0.13355360124108417,4077,0.21302053398819165,0.213
0.13401287774573495,4096,0.21401327133079054,0.214
0.13442168463347945,4115,0.21500600867338943,0.215
0.1348029009167253,4135,0.2160509953498093,0.216
0.13508974906277985,4154,0.21704373269240818,0.217
0.13542031051073847,4173,0.21803647003500706,0.218
0.13572800024699408,4192,0.21902920737760592,0.219
0.13611258929341322,4211,0.2200219447202048,0.22
0.1365184420239433,4230,0.2210146820628037,0.221
0.1367791647700766,4249,0.22200741940540258,0.222
0.1370371361896961,4268,0.22300015674800147,0.223
0.13740136088058966,4288,0.22404514342442133,0.224
0.13777919190191867,4307,0.22503788076702022,0.225
0.13801836353628127,4326,0.2260306181096191,0.226
0.13853070285074667,4345,0.227023355452218,0.227
0.13892220702362967,4364,0.22801609279481685,0.228
0.13946043031913377,4383,0.22900883013741574,0.229
0.13985344330817245,4402,0.23000156748001463,0.23
0.14023481426403628,4422,0.23104655415643452,0.231
0.14053283793258012,4441,0.23203929149903338,0.232
0.1408904305816756,4460,0.23303202884163227,0.233
0.14103109755626625,4479,0.23402476618423115,0.234
0.1413684178804149,4498,0.23501750352683004,0.235
0.14176445460600715,4517,0.23601024086942893,0.236
0.14200793568617126,4536,0.2370029782120278,0.237
0.14246763157157522,4556,0.23804796488844768,0.238
0.14291726991102818,4575,0.23904070223104656,0.239
0.14320565465223342,4594,0.24003343957364542,0.24
0.14359433665125454,4613,0.2410261769162443,0.241
0.14408017403996862,4632,0.2420189142588432,0.242
0.1445483317599634,4651,0.24301165160144209,0.243
0.14491701167601992,4670,0.24400438894404097,0.244
0.14524471902147262,4690,0.24504937562046084,0.245
0.1455618817439704,4709,0.24604211296305972,0.246
0.1459671096586338,4728,0.2470348503056586,0.247
0.14624271501092656,4747,0.2480275876482575,0.248
0.14648627824310825,4766,0.24902032499085636,0.249
0.1467930602999462,4785,0.25001306233345527,0.25
0.14702209950969936,4804,0.25100579967605413,0.251
0.14738207213796406,4824,0.252050786352474,0.252
0.14781223258418394,4843,0.2530435236950729,0.253
0.14800248688623643,4862,0.2540362610376718,0.254
0.14822246574290607,4881,0.25502899838027066,0.255
0.14862885924391242,4900,0.2560217357228695,0.256
0.14888759248520317,4919,0.25701447306546843,0.257
0.14925032858922366,4938,0.2580072104080673,0.258
0.1495041491576098,4958,0.2590521970844872,0.259
0.14980905781035972,4977,0.26004493442708604,0.26
0.15016529780294183,4996,0.26103767176968495,0.261
0.15059136236270773,5015,0.2620304091122838,0.262
0.150938439598951,5034,0.2630231464548827,0.263
0.15121542113093306,5053,0.2640158837974816,0.264
0.15151003939185914,5072,0.26500862114008045,0.265
0.15184005692378866,5091,0.26600135848267936,0.266
0.15236327121223933,5111,0.2670463451590992,0.267
0.15285550794101518,5130,0.2680390825016981,0.268
0.15312339199337963,5149,0.26903181984429697,0.269
0.15340518400973305,5168,0.2700245571868959,0.27
0.15369340294948994,5187,0.27101729452949475,0.271
0.1540083771058198,5206,0.2720100318720936,0.272
0.15436149009442401,5225,0.2730027692146925,0.273
0.15471849116976752,5245,0.2740477558911124,0.274
0.15522769407397746,5264,0.27504049323371127,0.275
0.15563039796260517,5283,0.27603323057631013,0.276
0.15591665006650554,5302,0.27702596791890904,0.277
0.15625435306117821,5321,0.2780187052615079,0.278
0.15648146673613914,5340,0.2790114426041068,0.279
0.15683577784263936,5359,0.2800041799467057,0.28
0.15704742419808967,5379,0.28104916662312557,0.281
0.15735547845888465,5398,0.2820419039657244,0.282
0.15779304364204322,5417,0.28303464130832334,0.283
